,ncratio,nspeed
1550,-0.2701999717257006,-0.3617651687719845
1553,-0.35639102392453614,-0.6021249279261881
1554,-0.3075603517662605,-0.6674400798702652
1557,-0.35639102392453614,-0.5916745036151358
1558,-0.31083757808560786,-0.7144669892700007
1561,-0.35639102392453614,-0.662214867714739
1562,-0.2911742201695237,-0.5446475942154003
1565,-0.35639102392453614,-0.6648274737925022
1566,-0.3029722349191742,-0.6360888069371082
1569,-0.3560633012926014,-0.6883409284923698
1570,-0.2987118407040226,-0.5968997157706619
1573,-0.35639102392453614,-0.6831157163368438
1574,-0.3029722349191742,-0.659602261636976
1577,-0.35639102392453614,-0.6256383826260559
1581,-0.35639102392453614,-0.659602261636976
1585,-0.35639102392453614,-0.7144669892700007
1586,-0.29477916912080576,-0.5942871096928989
1589,-0.35639102392453614,-0.7275300196588161
1590,-0.3010058991275658,-0.6439266251703974
1593,-0.35639102392453614,-0.6569896555592128
1594,-0.32624054178654044,-0.8712233539357858
1597,-0.35639102392453614,-0.6204131704705297
1601,-0.34983657128584145,-0.9208628694132843
1602,-0.2384108764280313,-0.2311348648838303
1605,-0.3560633012926014,-0.8268090506138133
1606,-0.2567633438163765,-0.3696029870052737
1609,-0.3544246881329277,-0.9365385058798628
1610,-0.23251186905320603,-0.12401801569554391
1613,-0.35508013339679717,-0.9025746268689427
1614,-0.19416832111684196,0.09021568268102892
1617,-0.35639102392453614,-0.659602261636976
1618,-0.31608114019656364,-0.8059082019917087
1621,-0.35639102392453614,-0.6569896555592128
1622,-0.3173920307243026,-0.8137460202249979
1625,-0.3560633012926014,-0.8111334141472348
1626,-0.2341504822128797,-0.20239619802843642
1629,-0.3557355786606667,-0.8346468688471026
1630,-0.26397324171894065,-0.3826660173940891
1633,-0.3557355786606667,-0.7954577776806563
1634,-0.28756927121824166,-0.5786114732263203
1637,-0.3560633012926014,-0.7092417771144746
1638,-0.30428312544691316,-0.6883409284923698
1641,-0.35639102392453614,-0.630863594781582
1645,-0.35639102392453614,-0.5995123218484251
1649,-0.35639102392453614,-0.630863594781582
1650,-0.28953560700985004,-0.49239547266013867
1653,-0.3560633012926014,-0.6778905041813176
1654,-0.2849474901627638,-0.4793324422713232
1657,-0.35639102392453614,-0.5577106246042157
